city,state,total_sales,monthly_avg_sales
Akron,OH,7571.84,946.48
Albuquerque,NM,40609.28,3384.11
Alexandria,VA,8798.40,879.84
Amarillo,TX,9941.76,994.18
Anaheim,CA,29293.12,2441.09
Anchorage,AK,17335.68,1733.57
Arlington,TX,24234.24,2019.52
Arlington,VA,14530.56,1453.06
Atlanta,GA,16537.92,1503.45
Augusta,GA,8657.60,961.96
Aurora,CO,24887.04,2073.92
Aurora,IL,5832.00,648.00
Austin,TX,83796.48,6983.04
Bakersfield,CA,40729.28,3394.11
Baltimore,MD,29622.40,2692.95
"Baton Rouge",LA,8916.16,990.68
Bayamon,PR,9780.48,1086.72
Bellevue,WA,7850.24,713.66
Birmingham,AL,7685.12,960.64
Boise,ID,8808.32,800.76
Boston,MA,35662.08,2971.84
Bridgeport,CT,11355.84,1135.58
Brownsville,TX,8974.40,815.85
Buffalo,NY,18779.52,1707.23
"Cape Coral",FL,11060.80,1106.08
Carrollton,TX,8306.24,755.11
Cary,NC,6203.84,563.99
Chandler,AZ,20656.32,1877.85
Charlotte,NC,41075.52,3734.14
Chattanooga,TN,11423.04,1038.46
Chesapeake,VA,8243.20,915.91
Chicago,IL,135760.96,11313.41
"Chula Vista",CA,22012.80,1834.40
Cincinnati,OH,20105.60,1827.78
Clarksville,TN,9550.08,1061.12
Cleveland,OH,19648.96,1964.90
"Colorado Springs",CO,35894.08,2991.17
Columbus,GA,9896.64,1099.63
Columbus,OH,49506.88,4500.63
Corona,CA,6539.84,726.65
"Corpus Christi",TX,21341.76,1778.48
Dallas,TX,110450.56,9204.21
Denton,TX,13197.76,1099.81
Denver,CO,53704.96,4475.41
"Des Moines",IA,12789.44,1278.94
Detroit,MI,30274.24,2752.20
Durham,NC,12697.92,1410.88
"El Paso",TX,42347.20,3528.93
"Elk Grove",CA,17556.48,1463.04
Enterprise,NV,15292.80,1390.25
Escondido,CA,12272.96,1022.75
Eugene,OR,12601.60,1260.16
Fayetteville,NC,10017.60,1001.76
Fontana,CA,15997.76,1333.15
"Fort Collins",CO,12611.20,1146.47
"Fort Lauderdale",FL,8073.28,1153.33
"Fort Wayne",IN,15661.12,1423.74
"Fort Worth",TX,61228.48,5102.37
Fremont,CA,22546.88,1878.91
Fresno,CA,41091.20,3424.27
Frisco,TX,13872.00,1387.20
"Garden Grove",CA,17253.44,1437.79
Garland,TX,15539.84,1294.99
Gilbert,AZ,17803.20,1483.60
Glendale,AZ,16560.96,1380.08
Glendale,CA,13805.44,1150.45
"Grand Prairie",TX,9855.36,821.28
"Grand Rapids",MI,10112.32,1264.04
Greensboro,NC,18992.32,1726.57
Hayward,CA,11080.32,1007.30
Henderson,NV,26666.56,2222.21
Hialeah,FL,12408.64,1551.08
Hollywood,FL,6605.76,825.72
Honolulu,HI,20853.12,2085.31
Houston,TX,152039.68,12669.97
"Huntington Beach",CA,16240.00,1353.33
Huntsville,AL,5329.28,888.21
Indianapolis,IN,60162.56,5469.32
Irvine,CA,22883.20,2080.29
Irving,TX,14887.04,1488.70
Jackson,MS,8095.68,735.97
Jacksonville,FL,50478.08,4206.51
"Jersey City",NJ,7683.84,768.38
Joliet,IL,3341.12,371.24
"Kansas City",KS,8563.84,856.38
"Kansas City",MO,29386.56,2938.66
Killeen,TX,8941.12,993.46
Knoxville,TN,8120.64,1015.08
Lakewood,CO,18176.96,1652.45
Lancaster,CA,16692.16,1391.01
Laredo,TX,27905.60,2325.47
"Las Vegas",NV,40638.72,3386.56
Lexington,KY,18071.04,1807.10
Lincoln,NE,12435.20,1381.69
"Little Rock",AR,9322.88,1035.88
"Long Beach",CA,25359.04,2113.25
"Los Angeles",CA,320345.28,26695.44
Louisville,KY,35377.92,3216.17
Lubbock,TX,16367.36,1363.95
Macon,GA,9344.00,1038.22
Madison,WI,15780.80,1578.08
McAllen,TX,7319.04,609.92
McKinney,TX,12836.16,1069.68
Memphis,TN,37764.80,3147.07
Mesa,AZ,34565.76,2880.48
Metairie,LA,6208.64,689.85
Miami,FL,21445.76,1949.61
Midland,TX,13710.72,1142.56
Milwaukee,WI,31172.16,2833.83
Minneapolis,MN,19444.16,1767.65
Miramar,FL,2674.24,891.41
Mobile,AL,9027.52,1003.06
Modesto,CA,16109.76,1342.48
Montgomery,AL,12967.68,1440.85
"Moreno Valley",CA,16665.92,1388.83
Murfreesboro,TN,7259.84,1037.12
Naperville,IL,7649.60,849.96
Nashville,TN,34110.08,3100.92
"New Orleans",LA,21813.76,1983.07
"New York City",NY,433844.16,36153.68
Newark,NJ,19036.48,1730.59
"Newport News",VA,10278.08,1027.81
Norfolk,VA,10611.20,1061.12
"North Las Vegas",NV,17162.56,1430.21
Oakland,CA,34293.76,2857.81
Oceanside,CA,14573.44,1214.45
"Oklahoma City",OK,45734.40,3811.20
Olathe,KS,7555.20,1079.31
Omaha,NE,25455.04,2545.50
Ontario,CA,18000.00,1500.00
Orlando,FL,19656.00,1965.60
"Overland Park",KS,9399.04,1342.72
Oxnard,CA,18001.92,1500.16
Palmdale,CA,14888.32,1240.69
Paradise,NV,14323.84,1302.17
Pasadena,TX,10694.40,972.22
Paterson,NJ,11808.00,1180.80
"Pembroke Pines",FL,6255.04,893.58
Peoria,AZ,15172.48,1264.37
Philadelphia,PA,89998.72,8181.70
Phoenix,AZ,120171.52,10014.29
Pittsburgh,PA,17430.08,1584.55
Plano,TX,22361.60,1863.47
Pomona,CA,9640.64,876.42
"Port St. Lucie",FL,14831.36,1647.93
Portland,OR,50415.36,4201.28
Providence,RI,9303.36,930.34
Raleigh,NC,24784.32,2065.36
"Rancho Cucamonga",CA,12548.80,1045.73
Reno,NV,20557.12,1868.83
Richmond,VA,20480.96,2275.66
Riverside,CA,22142.08,1845.17
Rochester,NY,11311.04,1256.78
Rockford,IL,7375.36,737.54
Roseville,CA,13835.52,1257.77
"Round Rock",TX,12241.28,1224.13
Sacramento,CA,46180.48,3848.37
Salem,OR,16368.96,1488.09
Salinas,CA,10537.60,878.13
"Salt Lake City",UT,28032.64,2336.05
"San Antonio",TX,105326.72,8777.23
"San Bernardino",CA,15845.44,1320.45
"San Diego",CA,108623.68,9051.97
"San Francisco",CA,77602.24,6466.85
"San Jose",CA,64927.04,5410.59
"San Juan",PR,19368.64,1760.79
"Santa Ana",CA,25011.52,2084.29
"Santa Clarita",CA,16744.32,1395.36
"Santa Rosa",CA,13229.44,1202.68
Scottsdale,AZ,22824.96,1902.08
Seattle,WA,67665.60,5638.80
Shreveport,LA,7454.40,931.80
"Sioux Falls",SD,12342.40,1234.24
Spokane,WA,13184.64,1198.60
"Spring Valley",NV,18695.36,1869.54
Springfield,MA,7730.56,773.06
Springfield,MO,6536.00,653.60
"St. Louis",MO,17638.40,1603.49
"St. Paul",MN,19270.40,1751.85
"St. Petersburg",FL,12614.40,1261.44
Stockton,CA,26927.36,2243.95
Sunnyvale,CA,16043.20,1458.47
"Sunrise Manor",NV,15946.24,1449.66
Surprise,AZ,9345.92,778.83
Tacoma,WA,15379.20,1281.60
Tallahassee,FL,8333.44,925.94
Tampa,FL,19046.72,1904.67
Tempe,AZ,14608.64,1328.06
Thornton,CO,14397.12,1199.76
Toledo,OH,15927.68,1769.74
Tucson,AZ,42301.44,3525.12
Tulsa,OK,35168.64,2930.72
Vancouver,WA,18239.36,1519.95
"Virginia Beach",VA,17392.32,1581.12
Waco,TX,7622.40,692.95
Washington,DC,43102.72,3918.43
Wichita,KS,22897.60,2081.60
Winston-Salem,NC,9763.20,1220.40
Worcester,MA,8114.88,901.65
Yonkers,NY,10451.84,1161.32
